vol,d_vol,hystery,disp
72.9118,-17716.3,-0.239139,8.23813
71.4945,-17520.2,-0.278128,8.1381
70.0929,-17393.6,-0.314424,8.03584
68.7014,-17299.5,-0.348369,7.93163
67.3174,-17223.9,-0.380187,7.82565
65.9395,-17160.8,-0.410052,7.71801
64.5666,-17106.8,-0.438111,7.60878
63.1981,-17059.5,-0.464493,7.49806
61.8333,-17017.1,-0.489312,7.3859
60.472,-16978.2,-0.512672,7.27237
59.1137,-16941.5,-0.534666,7.15755
57.7584,-16906.1,-0.555379,7.0415
56.4059,-16870.9,-0.57489,6.92427
55.0562,-16835.2,-0.593271,6.80595
53.7094,-16798.3,-0.610588,6.68659
52.3656,-16759.6,-0.626905,6.56626
51.0248,-16718.4,-0.642279,6.44504
49.6873,-16674.4,-0.656765,6.32299
48.3534,-16627,-0.670413,6.20019
47.0232,-16575.9,-0.683271,6.0767
45.6971,-16520.7,-0.695384,5.9526
44.3755,-16461,-0.706795,5.82797
43.0586,-16396.5,-0.717543,5.70288
41.7469,-16327,-0.727665,5.5774
40.4407,-16252.3,-0.737197,5.45162
39.1405,-16171.9,-0.746174,5.32559
37.8468,-16085.9,-0.754625,5.19942
36.5599,-15993.9,-0.762581,5.07316
35.2804,-15895.7,-0.770071,4.94689
34.0087,-15791.3,-0.77712,4.82071
32.7454,-12701.5,-0.758896,4.69467
31.7293,-13206.3,-0.745473,4.56255
30.6728,-13175.8,-0.732463,4.43365
29.6187,-13199.9,-0.720397,4.3062
28.5628,-13200.6,-0.709158,4.18014
27.5067,-13187.8,-0.698711,4.05526
26.4517,-13160.4,-0.689009,3.93147
25.3989,-13118.6,-0.680008,3.8087
24.3494,-13062.8,-0.671666,3.68694
23.3043,-12993.1,-0.663941,3.56618
22.2649,-12909.8,-0.656792,3.44644
21.2321,-12813.2,-0.650182,3.32777
20.2071,-12703.6,-0.644073,3.21019
19.1908,-12581.2,-0.63843,3.09377
18.1843,-12446.6,-0.633221,2.97857
17.1885,-12299.9,-0.628413,2.86463
16.2045,-12141.5,-0.623978,2.75203
15.2332,-11971.8,-0.619886,2.64084
14.2755,-11791.2,-0.616114,2.53112
13.3322,-11599.9,-0.612635,2.42293
12.4042,-11398.3,-0.609429,2.31635
11.4923,-11186.7,-0.606473,2.21144
10.5974,-10965.5,-0.603748,2.10826
9.72015,-10735.1,-0.601237,2.00689
8.86134,-10495.7,-0.598922,1.90739
8.02169,-10247.6,-0.596789,1.80982
7.20189,-9991.16,-0.594822,1.71425
6.40259,-9726.73,-0.59301,1.62073
5.62446,-9454.58,-0.59134,1.52933
4.86809,-9175,-0.5898,1.4401
4.13409,-8888.31,-0.588382,1.35311
3.42302,-7657.19,-0.579251,1.26841
2.81045,-7553.55,-0.571863,1.18406
2.20616,-7293.46,-0.564956,1.10303
1.62269,-7040.31,-0.558631,1.02482
1.05946,-6775.26,-0.552829,0.949409
0.517442,-6501.08,-0.547515,0.876756
-0.00264461,-6218.09,-0.542652,0.806846
-0.500092,-5926.88,-0.538207,0.739679
-0.974242,-5627.98,-0.53415,0.675264
-1.42448,-5321.9,-0.530454,0.613617
-1.85023,-5009.18,-0.527093,0.554761
-2.25097,-4690.29,-0.524044,0.498721
-2.62619,-4365.71,-0.521288,0.445523
-2.97545,-4035.93,-0.518804,0.395196
-3.29832,-3701.38,-0.516576,0.347768
-3.59443,-3362.51,-0.51459,0.303266
-3.86343,-3019.76,-0.512831,0.261718
-4.10501,-2673.54,-0.511287,0.223148
-4.3189,-2324.26,-0.509949,0.187583
-4.50484,-1972.32,-0.508807,0.155044
-4.66262,-1618.13,-0.507853,0.125554
-4.79207,-1262.06,-0.507081,0.0991308
-4.89304,-904.504,-0.506485,0.0757931
-4.9654,-545.831,-0.506062,0.0555566
-5.00906,-186.418,-0.505808,0.0384352
-5.02398,173.365,-0.505722,0.024441
-5.01011,533.151,-0.505802,0.0135838
-4.96746,892.572,-0.506049,0.00587177
-4.89605,1117.14,-0.506464,0.00131094
-4.80668,1314.15,-0.506986,-9.46585e-05
-4.70155,1611.64,-0.507606,0.00135688
-4.57262,2678.27,-0.501895,0.00538204
-4.35835,3436,-0.492421,0.01035
-4.08347,4058.29,-0.480301,0.017326
-3.75881,4618.58,-0.466041,0.0267341
-3.38933,5147.78,-0.449883,0.0387316
-2.9775,5658.62,-0.431964,0.0533664
-2.52481,6156.09,-0.412377,0.070643
-2.03233,6641.93,-0.3912,0.0905493
-1.50097,7116.5,-0.368503,0.113068
-0.931652,7579.62,-0.34436,0.138179
-0.325282,8030.93,-0.318845,0.165863
0.317193,8470.03,-0.292034,0.196099
0.994795,8896.53,-0.264003,0.228866
1.70652,9310.11,-0.234831,0.264142
2.45133,9710.49,-0.204598,0.301904
3.22816,10097.5,-0.173384,0.342128
4.03596,10470.8,-0.141269,0.384788
4.87363,10830.6,-0.108331,0.429856
5.74007,11176.6,-0.0746487,0.477303
6.6342,11508.8,-0.0402995,0.527099
7.55491,11827.4,-0.00535861,0.57921
8.5011,12132.3,0.0301006,0.633602
9.47168,12518.8,0.0668001,0.69024
10.4732,12951.4,0.105168,0.748885
11.5093,13402.4,0.145401,0.809422
12.5815,13862.5,0.187621,0.871813
13.6905,14328.8,0.231925,0.936039
14.8368,14800.8,0.27841,1.00208
16.0209,15278.8,0.327174,1.06991
17.2432,15763.5,0.378321,1.13949
18.5042,16255.8,0.431967,1.2108
19.8047,16756.7,0.488235,1.28377
21.1452,14496.7,0.524139,1.35837
22.305,13981.7,0.554295,1.44042
23.4235,13932.8,0.582646,1.52469
24.5381,13999.2,0.61021,1.61
25.6581,14088.5,0.637235,1.69616
26.7851,14176.8,0.663769,1.78324
27.9193,14258.5,0.689815,1.87133
29.06,14332.1,0.715365,1.96047
30.2065,14397.6,0.740409,2.05071
31.3583,14454.9,0.764941,2.14204
32.5147,14504.2,0.788953,2.23445
33.6751,14545.6,0.812441,2.32793
34.8387,14579.1,0.835402,2.42244
36.005,14605,0.857833,2.51795
37.1734,14623.2,0.879734,2.61439
38.3433,14633.9,0.901104,2.71174
39.514,14637.1,0.921947,2.80992
40.685,14633,0.942263,2.90889
41.8556,14621.5,0.962056,3.00858
43.0253,14602.8,0.98133,3.10894
44.1936,14576.8,1.00009,3.2099
45.3597,14543.7,1.01834,3.3114
46.5232,14503.5,1.03609,3.41338
47.6835,14456.2,1.05334,3.51578
48.84,14402,1.0701,3.61852
49.9921,14340.7,1.08637,3.72155
51.1394,14272.6,1.10217,3.8248
52.2812,14197.5,1.11751,3.92821
53.417,14115.7,1.13238,4.03171
54.5463,14027,1.14681,4.13523
55.6684,13931.6,1.16079,4.23871
56.7829,9638.74,1.13936,4.34209
57.554,10468.6,1.12535,4.45418
58.3915,10327.1,1.1107,4.56179
59.2177,10348.4,1.09684,4.66797
60.0456,10331.4,1.08351,4.77259
60.8721,10310.2,1.07074,4.87596
61.6969,10279.2,1.05851,4.97822
62.5192,10239.2,1.0468,5.07946
63.3384,10190.2,1.03561,5.17974
64.1536,10132.2,1.02492,5.2791
64.9642,10065.2,1.01471,5.37753
65.7694,9989.21,1.00497,5.47503
66.5685,9904.35,0.995686,5.57158
67.3609,9810.7,0.986837,5.66713
68.1457,9708.33,0.978411,5.76165
68.9224,9597.37,0.970392,5.8551
69.6902,9477.92,0.962765,5.94742
70.4484,9350.11,0.955515,6.03857
71.1964,9214.08,0.948628,6.12851
71.9335,9069.98,0.942088,6.21716
72.6591,8917.97,0.935882,6.30449
73.3726,8758.2,0.929996,6.39043
74.0732,8590.86,0.924416,6.47495
74.7605,8416.11,0.919131,6.55797
75.4338,8234.15,0.914126,6.63946
76.0925,8045.15,0.90939,6.71936
76.7361,7849.32,0.904912,6.79763
77.3641,7646.85,0.90068,6.8742
77.9758,7437.95,0.896683,6.94903
78.5709,7222.81,0.892912,7.02208
79.1487,7001.65,0.889356,7.0933
79.7088,7167.98,0.889288,7.16264
80.2823,6911.79,0.88922,7.22923
80.8352,6651.71,0.889156,7.29411
81.3673,6387.4,0.889096,7.35718
81.8783,6119.03,0.889039,7.41834
82.3679,5846.77,0.888986,7.47752
82.8356,5570.8,0.888936,7.53465
83.2813,5291.3,0.88889,7.58968
83.7046,5008.43,0.888847,7.64255
84.1052,4722.38,0.888807,7.69321
84.483,4433.34,0.88877,7.74163
84.8377,4141.48,0.888735,7.78778
85.169,3846.99,0.888704,7.8316
85.4768,3550.06,0.888675,7.87308
85.7608,3250.87,0.888648,7.91219
86.0209,2949.62,0.888625,7.9489
86.2568,2646.5,0.888603,7.98317
86.4685,2341.7,0.888584,8.015
86.6559,2035.41,0.888567,8.04436
86.8187,1727.83,0.888553,8.07123
86.9569,1419.15,0.888541,8.09559
87.0705,1109.57,0.888531,8.11743
87.1592,799.289,0.888523,8.13674
87.2232,488.498,0.888518,8.15349
87.2623,177.395,0.888514,8.16769
87.2764,-133.821,0.888513,8.17931
87.2657,-444.954,0.888514,8.18836
87.2301,-755.805,0.888517,8.19483
87.1697,-641.468,0.888522,8.19871
87.1184,-419.212,0.888527,8.2
87.0848,-513.63,0.88853,8.19961
87.0437,-802.333,0.886907,8.19842
86.9795,-1005.13,0.884373,8.19686
86.8991,-1174.91,0.881198,8.19464
86.8051,-1331.67,0.877489,8.19166
86.6986,-1482.9,0.873285,8.18789
86.58,-1631.38,0.868604,8.18332
86.4495,-1778.09,0.863457,8.17796
86.3072,-1923.35,0.857848,8.17181
86.1534,-2067.22,0.851784,8.16488
85.988,-2209.66,0.845267,8.15717
85.8112,-2350.59,0.838305,8.14869
85.6232,-2489.94,0.830902,8.13945
85.424,-2627.6,0.823063,8.12946
85.2138,-2763.49,0.814795,8.11872
84.9927,-2897.52,0.806103,8.10724
84.7609,-3029.59,0.796995,8.09502
84.5185,-3159.63,0.787476,8.08208
84.2657,-3287.54,0.777555,8.06843
84.0027,-3413.23,0.767238,8.05406
83.7297,-3536.64,0.756533,8.039
83.4467,-3657.67,0.745449,8.02325
83.1541,-3776.25,0.733992,8.00682
82.852,-3892.3,0.722173,7.98972
82.5406,-4005.74,0.709998,7.97196
82.2202,-4116.5,0.697479,7.95355
81.8909,-4224.52,0.684622,7.93451
81.5529,-4329.72,0.671438,7.91485
81.2065,-4432.03,0.657937,7.89457
80.852,-4531.4,0.644128,7.8737
80.4895,-4627.75,0.630022,7.85225
80.1192,-4721.04,0.615627,7.83022
79.7416,-4811.2,0.600955,7.80763
79.3567,-3686.33,0.596128,7.78451
79.0617,-3611.17,0.592371,7.75828
78.7729,-3658.4,0.588646,7.73186
78.4802,-3718.64,0.584827,7.70544
78.1827,-3778.75,0.580897,7.67895
77.8804,-3837.1,0.576856,7.6523
77.5734,-3893.46,0.5727,7.62544
77.2619,-3947.77,0.56843,7.59833
76.9461,-4000.01,0.564045,7.57093
76.6261,-4050.15,0.559543,7.54324
76.3021,-4098.14,0.554925,7.51525
75.9743,-4143.97,0.550189,7.48695
75.6427,-4187.61,0.545335,7.45836
75.3077,-4229.03,0.540363,7.42949
74.9694,-4268.19,0.535273,7.40033
74.628,-4305.08,0.530063,7.37091
74.2836,-4339.67,0.524734,7.34124
73.9364,-4371.94,0.519285,7.31133
73.5866,-4401.85,0.513717,7.28121
73.2345,-4429.39,0.50803,7.25089
72.8801,-4454.53,0.502224,7.22038
72.5238,-4477.25,0.4963,7.18971
72.1656,-4497.52,0.490257,7.15889
71.8058,-4515.33,0.484098,7.12795
71.4446,-4530.64,0.477821,7.09689
71.0821,-4543.45,0.47143,7.06575
70.7186,-4553.72,0.464924,7.03454
70.3543,-4561.44,0.458305,7.00328
69.9894,-4566.59,0.451575,6.97199
69.6241,-4569.14,0.444736,6.94069
69.2586,-4569.07,0.43779,6.9094
68.893,-4080.79,0.434791,6.87813
68.5666,-4032.57,0.432047,6.84589
68.244,-4015.8,0.429276,6.81388
67.9227,-3999.24,0.426457,6.78216
67.6028,-3980.44,0.42359,6.7507
67.2843,-3959.22,0.420676,6.71948
66.9676,-3935.55,0.417715,6.6885
66.6527,-3909.44,0.41471,6.65774
66.34,-3880.87,0.411663,6.62722
66.0295,-3849.86,0.408574,6.59694
65.7215,-3816.4,0.405447,6.56691
65.4162,-3780.49,0.402283,6.53715
65.1138,-3742.14,0.399085,6.50765
64.8144,-3701.36,0.395856,6.47845
64.5183,-3658.14,0.392598,6.44956
64.2256,-3612.49,0.389315,6.42098
63.9366,-3564.43,0.386009,6.39275
63.6515,-3513.95,0.382684,6.36487
63.3704,-3461.07,0.379344,6.33736
63.0935,-3405.79,0.375993,6.31024
62.821,-3348.14,0.372635,6.28352
62.5532,-3288.11,0.369273,6.25722
62.2901,-3225.73,0.365912,6.23136
62.0321,-3161.02,0.362558,6.20595
61.7792,-3093.99,0.359214,6.18102
61.5317,-3024.65,0.355886,6.15656
61.2897,-2953.04,0.352579,6.13261
61.0535,-2879.18,0.349298,6.10916
60.8231,-2803.09,0.346048,6.08625
60.5989,-2724.81,0.342836,6.06388
60.3809,-2644.36,0.339667,6.04207
60.1693,-2400.75,0.33789,6.02082
59.9773,-2306.52,0.336248,5.99982
59.7928,-2222.46,0.334645,5.97948
59.615,-2137.65,0.333075,5.95983
59.4439,-2051.26,0.331543,5.94086
59.2798,-1963.28,0.330051,5.92256
59.1228,-1873.75,0.328603,5.90494
58.9729,-1782.72,0.327203,5.88801
58.8303,-1690.26,0.325853,5.87176
58.695,-1596.42,0.324558,5.8562
58.5673,-1501.26,0.323321,5.84134
58.4472,-1404.86,0.322145,5.82718
58.3348,-1307.28,0.321033,5.81374
58.2303,-1208.59,0.319988,5.80102
58.1336,-1108.86,0.319014,5.78902
58.0449,-1008.17,0.318112,5.77776
57.9642,-906.602,0.317286,5.76723
57.8917,-804.23,0.316539,5.75745
57.8273,-701.139,0.315871,5.74843
57.7713,-597.411,0.315286,5.74016
57.7235,-493.134,0.314786,5.73265
57.684,-388.394,0.31437,5.72591
57.6529,-283.281,0.314042,5.71995
57.6303,-177.884,0.313802,5.71475
57.616,-72.2953,0.313652,5.71034
57.6103,33.3942,0.31359,5.70671
57.6129,139.092,0.313618,5.70387
57.6241,244.705,0.313737,5.70181
57.6436,-96.9227,0.313944,5.70053
57.6359,-597.486,0.313862,5.70005
57.5881,-780.295,0.313356,5.69951
57.5257,-1162.67,0.310755,5.69796
57.4326,-1445.93,0.306884,5.69582
57.317,-1688.54,0.302075,5.69274
